-- Source directory: /home/scj/devel/mht
-- Build  directory: /home/scj/devel/mht/build
-- Configuring mht ...
-- Boost version: 1.58.0
-- Configuring done
-- Generating done
-- Build files have been written to: /home/scj/devel/mht/build
[ 55%] Built target mht_base
[ 65%] Built target mht
[100%] Built target unit_tests
N;x;y;z
1;-13.397;16.925;-4.35885
2;-13.797;16.525;-3.58239
3;-14.197;16.125;-2.82163
4;-14.597;15.725;-2.07657
5;-15.1138;14.8216;-1.23581
6;-15.5179;14.4051;-0.517979
7;-16.015;13.7074;0.301873
8;-16.6825;12.6283;1.34041
9;-17.1133;12.1254;2.04314
10;-17.7942;11.0982;3.06811
11;-18.7936;10.0993;3.23936
12;-20.1584;10.5538;3.78595
13;-22.0294;6.72643;2.29017
14;-35.3633;4.18711;-5.76824
15;-30.3022;9.88395;5.71779
16;-31.6832;9.83627;6.02703
17;-32.9561;9.75619;6.12058
18;-34.1179;9.54191;6.47521
19;-35.4655;9.4395;6.72045
20;-36.7139;9.29249;7.03741
21;-37.9291;9.14648;7.40416
22;-39.1266;8.95458;7.78358
23;-40.4109;8.82614;8.12829
24;-41.5004;8.66125;8.53518
25;-42.5909;8.50284;8.94896
26;-43.6997;8.32343;9.33541
27;-44.7931;8.16947;9.74197
28;-45.8768;7.98784;10.146
29;-46.9895;7.85107;10.5119
30;-47.9888;7.65432;10.94
31;-49.0354;7.52681;11.3502
32;-50.0661;7.35741;11.6019
33;-51.2485;7.20202;11.9384
34;-52.2459;6.99878;12.3504
35;-53.2989;6.80569;12.6752
36;-54.3017;6.60005;13.0044
37;-55.3858;6.47763;13.3023
38;-56.3565;6.26885;13.5999
39;-57.3248;6.0832;13.926
40;-58.2321;5.94506;14.107
41;-59.3087;5.73253;14.3422
42;-60.2667;5.52698;14.6325
43;-61.2402;5.36483;14.9079
44;-62.2043;5.25456;15.1881
45;-63.1062;5.07351;15.4912
46;-63.9977;4.86972;15.7766
47;-64.9212;4.68153;16.0434
48;-65.8448;4.49286;16.2917
49;-66.8034;4.30967;16.5238
50;-67.6778;4.14552;16.7701
51;-68.5761;3.96368;17.0038
52;-69.436;3.79296;17.2516
53;-70.3321;3.61853;17.434
54;-71.236;3.45287;17.6557
55;-72.0904;3.30604;17.8421
56;-73.0089;3.16688;17.9775
57;-73.8626;2.97925;18.1537
58;-74.712;2.83616;18.3066
59;-75.5901;2.671;18.4702
60;-76.5422;2.61911;18.5422
61;-77.3531;2.45434;18.6724
62;-78.1771;2.27239;18.7581
63;-79.019;2.12561;18.8739
64;-79.8371;1.95749;18.9595
65;-80.6735;1.85051;19.0406
66;-81.5119;1.68278;19.1059
67;-82.3235;1.53883;19.1759
68;-83.0688;1.40563;19.2534
69;-83.8928;1.25677;19.3092
70;-84.7285;1.09139;19.3483
71;-85.5286;0.965633;19.3035
72;-86.3231;0.799964;19.3395
73;-87.0826;0.66344;19.343
74;-87.8607;0.553875;19.3487
75;-88.6939;0.375743;19.3062
76;-89.4833;0.203289;19.2715
77;-90.2858;0.0506581;19.2216
78;-91.0359;-0.00848191;19.1141
79;-91.8142;-0.0723126;19.152
80;-92.6252;-0.250828;19.0435
81;-93.3916;-0.411595;18.9433
82;-94.182;-0.622107;18.8362
83;-94.9487;-0.78389;18.7616
84;-95.7177;-0.940724;18.6426
85;-96.4773;-1.06778;18.52
86;-97.2554;-1.2518;18.3648
87;-98.0248;-1.37166;18.2104
88;-98.699;-1.48195;18.0871
89;-99.4614;-1.65742;17.9103
90;-100.214;-1.82341;17.7068
91;-100.992;-1.9831;17.4968
92;-101.72;-2.01399;17.3749
93;-102.497;-2.14748;17.1343
94;-103.236;-2.30284;16.8988
95;-104.018;-2.48635;16.638
96;-104.809;-2.48632;16.2775
97;-105.429;-2.59255;15.9536
98;-106.172;-2.78933;15.6926
99;-106.959;-2.97694;15.4163
100;-107.642;-3.11233;15.0615
101;-108.485;-3.34877;14.8464
102;-109.184;-3.43673;14.5155
103;-109.791;-3.5974;14.0478
104;-110.561;-3.76118;13.7203
105;-111.282;-3.89953;13.3513
106;-111.983;-4.0085;12.9857
107;-112.752;-4.1214;12.624
108;-113.499;-4.31096;12.2349
109;-114.304;-4.48098;11.9914
110;-114.959;-4.5997;11.5365
111;-115.711;-4.72254;11.1573
112;-116.416;-4.88904;10.7056
113;-117.156;-5.07579;10.2624
114;-117.862;-5.21094;9.81287
115;-118.553;-5.34879;9.32773
116;-119.18;-5.46692;8.71007
117;-119.954;-5.6252;8.28313
118;-120.595;-5.73838;7.65105
119;-121.248;-5.85541;7.32342
120;-121.986;-5.99864;6.75099
121;-122.806;-6.22248;6.25684
122;-123.572;-6.35452;5.78893
123;-124.33;-6.5142;5.24105
124;-124.959;-6.67982;4.68734
125;-125.62;-6.90803;4.19507
126;-126.375;-7.08079;3.69527
127;-127.103;-7.19492;3.14065
128;-127.982;-7.41629;2.79013
129;-128.704;-7.53954;2.40148
130;-129.396;-7.66073;1.98983
131;-130.073;-7.78903;1.5492
132;-130.875;-7.95707;1.23725
133;-131.55;-8.06411;0.822855
134;-132.229;-8.07789;0.435396
135;-132.986;-8.23628;-0.0437026
136;-133.649;-8.47005;-0.478914
137;-134.355;-8.6155;-0.860468
138;-135.068;-8.76624;-1.30786
139;-135.831;-8.91826;-1.81349
140;-136.744;-9.124;-2.22523
141;-137.507;-9.32867;-2.61933
142;-138.093;-9.48379;-3.18988
143;-138.851;-9.58266;-3.69332
144;-139.553;-9.72928;-4.26582
145;-140.147;-9.84217;-4.70012
