N;x;y;z
1;-13.397;16.925;-4.35885
2;-13.797;16.525;-3.58239
3;-14.197;16.125;-2.82163
4;-14.635;15.5109;-2.053
5;-15.1095;14.8514;-1.23603
6;-15.6008;14.187;-0.403899
7;-16.1084;13.5116;0.438403
8;-16.63;12.8144;1.28344
9;-17.5978;11.6152;1.70136
10;-19.83;10.3487;1.19382
11;-25.2545;10.9272;1.73511
12;-26.56;10.8662;2.14467
13;-27.9149;10.8164;2.58851
14;-29.259;10.6521;3.04125
15;-30.7345;10.4107;3.41167
16;-32.0558;10.2831;3.81816
17;-33.2963;10.1223;4.30654
18;-34.4154;9.88608;4.81707
19;-35.7341;9.68918;5.28556
20;-36.9261;9.49544;5.77405
21;-38.0987;9.30561;6.28313
22;-39.2653;9.07731;6.78669
23;-40.5209;8.92229;7.24483
24;-41.5835;8.73469;7.75366
25;-42.656;8.55766;8.25499
26;-43.7493;8.35872;8.71957
27;-44.8317;8.19157;9.19411
28;-45.9077;7.99873;9.65996
29;-47.0112;7.85436;10.0838
30;-48.004;7.6494;10.5598
31;-49.0406;7.52556;11.0225
32;-50.0661;7.35752;11.3119
33;-51.2524;7.20444;11.6888
34;-52.2507;6.99015;12.1338
35;-53.3023;6.7929;12.4877
36;-54.3046;6.57975;12.8388
37;-55.391;6.44917;13.1647
38;-56.356;6.23776;13.4851
39;-57.3187;6.05566;13.8318
40;-58.2163;5.92248;14.0211
41;-59.2941;5.70978;14.2768
42;-60.2584;5.49873;14.5791
43;-61.2336;5.33691;14.8691
44;-62.1877;5.24367;15.1739
45;-63.0905;5.06128;15.494
46;-63.9858;4.85262;15.7868
47;-64.9129;4.66268;16.0615
48;-65.838;4.47469;16.3161
49;-66.7996;4.29314;16.5532
50;-67.6724;4.12943;16.8086
51;-68.5722;3.94868;17.0463
52;-69.4312;3.78037;17.2998
53;-70.33;3.60302;17.4815
54;-71.2341;3.44131;17.7083
55;-72.0884;3.29471;17.8992
56;-73.0075;3.15788;18.039
57;-73.8636;2.96635;18.2135
58;-74.7107;2.82644;18.3675
59;-75.5897;2.66079;18.5352
60;-76.545;2.61337;18.5986
61;-77.3525;2.44736;18.7308
62;-78.1754;2.2617;18.8157
63;-79.0163;2.11765;18.9343
64;-79.8357;1.94726;19.0214
65;-80.6736;1.84123;19.102
66;-81.5134;1.67046;19.1684
67;-82.3232;1.5291;19.2403
68;-83.069;1.39352;19.3168
69;-83.8933;1.2462;19.3758
70;-84.7286;1.08444;19.418
71;-85.527;0.958387;19.3743
72;-86.3233;0.791257;19.4133
73;-87.0814;0.655148;19.4198
74;-87.8622;0.543502;19.4277
75;-88.6959;0.364069;19.3849
76;-89.4844;0.190818;19.3518
77;-90.2872;0.0402507;19.3025
78;-91.0381;-0.0154813;19.2017
79;-91.813;-0.0689454;19.2517
80;-92.6247;-0.249902;19.1442
81;-93.3931;-0.415017;19.043
82;-94.1843;-0.629973;18.9334
83;-94.9534;-0.794074;18.8573
84;-95.722;-0.951255;18.7408
85;-96.4812;-1.07607;18.6187
86;-97.2572;-1.25962;18.4583
87;-98.0288;-1.38023;18.3038
88;-98.7027;-1.49259;18.1818
89;-99.4652;-1.66762;18.0043
90;-100.218;-1.8358;17.7979
91;-100.997;-1.99583;17.5895
92;-101.721;-2.01315;17.4832
93;-102.5;-2.14719;17.2426
94;-103.241;-2.30789;17.006
95;-103.702;-2.32218;16.2275
96;-104.618;-2.37287;15.9032
97;-105.308;-2.51464;15.6047
98;-106.095;-2.73479;15.3744
99;-106.918;-2.93908;15.1254
100;-107.616;-3.08789;14.7981
101;-108.469;-3.32741;14.6085
102;-109.174;-3.41808;14.3023
103;-109.771;-3.58443;13.8429
104;-110.55;-3.75311;13.5349
105;-111.277;-3.89271;13.1876
106;-111.982;-4.0017;12.8466
107;-112.756;-4.11167;12.5053
108;-113.504;-4.30574;12.1336
109;-114.307;-4.47109;11.918
110;-114.959;-4.59104;11.4786
111;-115.719;-4.71369;11.1236
112;-116.424;-4.88379;10.6904
113;-117.165;-5.07682;10.2657
114;-117.871;-5.21551;9.8371
115;-118.56;-5.35286;9.37187
116;-119.185;-5.47501;8.77658
117;-119.967;-5.6363;8.37719
118;-120.595;-5.74502;7.74871
119;-121.288;-5.89747;7.4749
120;-121.984;-6.00256;6.89962
121;-122.805;-6.23063;6.42154
122;-123.579;-6.3618;5.97954
123;-124.336;-6.52168;5.45309
124;-124.957;-6.69136;4.92914
125;-125.606;-6.92332;4.45733
126;-126.37;-7.09972;3.97565
127;-127.11;-7.21809;3.43248
128;-127.987;-7.43556;3.12831
129;-128.706;-7.55354;2.72976
130;-129.391;-7.67013;2.30972
131;-130.061;-7.79625;1.84927
132;-130.866;-7.96344;1.51457
133;-131.539;-8.07151;1.07964
134;-132.218;-8.07782;0.66445
135;-133;-8.25364;0.18987
136;-133.615;-8.48854;-0.250525
137;-134.33;-8.63592;-0.670099
138;-135.037;-8.7841;-1.15552
139;-135.832;-8.95226;-1.64118
140;-136.735;-9.13458;-2.0878
141;-137.498;-9.33911;-2.51359
142;-138.02;-9.45941;-3.0916
143;-138.848;-9.58866;-3.63156
144;-139.557;-9.74138;-4.19673
145;-140.145;-9.85176;-4.68057

